idx,umls_cui,se_name
819,C0427108,Balance disorder
820,C0235267,Ocular hyperaemia
821,C0151737,Injury
822,C0235416,Blood uric acid increased
823,C0151734,Injection site inflammation
824,C0235351,Tongue ulceration
825,C0475858,Pruritus generalised
826,C0521465,Toxic skin eruption
827,C0236000,Pain in jaw
828,C0085680,Hypochloraemia
829,C0014534,Epididymitis
830,C0236065,Oedema mouth
831,C0030846,Penis disorder
832,C0030848,Peyronie's disease
833,C0085688,Breast engorgement
834,C0080203,Tachyarrhythmia
835,C0036980,Cardiogenic shock
836,C0036396,Sciatica
837,C0006114,Brain oedema
838,C0231807,Dyspnoea exertional
839,C0232292,Chest discomfort
840,C0220981,Metabolic acidosis
841,C0026603,Motion sickness
842,C0948595,Ocular discomfort
843,C1306341,Mental retardation
844,C2711248,Osteonecrosis of jaw
845,C0002888,Anaemia megaloblastic
846,C0004610,Bacteraemia
847,C0025320,Menopause
848,C0005747,Blepharospasm
849,C0860803,Blood glucose increased
850,C0858259,Nasal discomfort
851,C0854382,Libido disorder
852,C0026766,Multi-organ failure
853,C0553721,Hypohidrosis
854,C0595930,Blood cholesterol increased
855,C0700200,Presyncope
856,C0233763,"Hallucination, visual"
857,C0234894,Dermatitis acneiform
858,C0022658,Nephropathy
859,C0234047,Ejaculation delayed
860,C0021167,Incontinence
861,C0521495,Application site rash
862,C0541799,Dysgeusia
863,C0012739,Disseminated intravascular coagulation
864,C0013132,Drooling
865,C0013182,Drug hypersensitivity
866,C0853697,Neutrophil count decreased
867,C0853714,Application site pruritus
868,C0231365,Dysuria
869,C0751295,Amnesia
870,C0233494,Tension
871,C0007785,Cerebral infarction
872,C0687713,Gastrointestinal pain
873,C0221170,Musculoskeletal stiffness
874,C0009324,Proctocolitis
875,C0085692,Cystitis haemorrhagic
876,C0423602,Sensation of foreign body
877,C0085932,Dermatitis bullous
878,C0151996,Uterine leiomyoma
879,C1262064,Oculogyric crisis
880,C0041948,Azotaemia
881,C1519353,Rash papular
882,C3248383,Logorrhoea
883,C0001125,Lactic acidosis
884,C3251821,Catatonia
885,C0392163,Corneal erosion
886,C0033845,Benign intracranial hypertension
887,C0033893,Tension headache
888,C0239454,Erythema of eyelid
889,C0344320,Abnormal dreams
890,C1861172,Embolism venous
891,C0151605,Injection site swelling
892,C0241136,Pain of skin
893,C0239739,Gingival pain
